COACH_ID,COACH_NAME,AGE,NATIONALITY,COACH_TEAM
1,Ernesto Valverde,55,Spain,FC Barcelona
2,Asier Garitano Aguirrezabal,50,Spain,Deportivo Alaves
3,Diego Simeone,49,Argentina,Atletico de Madrid
4,Joan Francesc Ferrer,49,Spain,Real Betis
5,Pablo Machin,44,Spain,RCD Espanyol
6,Jagoba Arrasate,41,Spain,Osasuna
7,IMANOL ALGUACIL,48,Spain,Real Sociedad
8,Albert Celades,44,Spain,Valencia C.F
9,Javi Calleja,41,Spain,Villarreal CF
10,Jose Luis Mendilibar,58,Spain,SD Eibar
11,Francisco Jose Lopez Fernandez,52,Spain,Levante
12,Gaizka Garitano,44,Spain,Athletic de Bilbao
13,Oscar Garcia,46,Spain,Celta de Vigo
14,Fernando Vazquez,56,Spain,Real Mallorca
15,Zinedine Zidane,47,France,Real Madrid CF
16,Julen Lopetegui,53,Spain,Sevilla FC
17,Sergio Gonzalez,43,Spain,Real Valladolid
18,Jose Bordalas,55,Spain,Getafe CF
19,Javier Aguirre,61,Mexico,CD Leganes
20,Diego Martinez Penas,39,Spain,Granada CF
