STADIUM_ID,STADIUM_NAME,OPENING_YEAR,CAPACITY,STADIUM_TEAM
1,Camp Nou,3/14/1957,100616,FC Barcelona
2,Estadi POWER 8,2/15/2009,40000,RCD Espanyol
3,El Estadio Santiago Bernabeu,7/19/1947,84781,Real Madrid CF
4,Stadium Metropolitano de Madrid,12/17/2017,68000,Atletico de Madrid
5,Estadio Benito Villamarín,11/15/1929,56581,Real Betis
6,Estadio Ramon Sanchez Pizjuan,10/12/1958,45803,Sevilla FC
7,Estadi Ciutat de Valencia,10/16/1969,25354,Levante
8,Estadio Mestalla,1/17/1923,53269,Valencia C.F
9,Estadio San Mames,4/15/1913,39875,Athletic de Bilbao
10,Estadio Anoeta,9/1/1993,33042,Real Sociedad
11,Estadio Municipal de Balaidos,12/5/1928,32080,Celta de Vigo
12,Estadio Municipal de Butarque,5/2/1998,7760,CD Leganes
13,Estadio Nuevo Los Carmenes,1/14/1995,23156,Granada CF
14,Estadio Nuevo Jose Zorilla,,26512,Real Valladolid
15,Iberostar Estadi,1/13/1999,24316,Real Mallorca
16,Ipurua Municipal Stadium,3/6/1947,5250,SD Eibar
17,Estadio Mendizorroza,8/6/1924,19900,Deportivo Alaves
18,Coliseum Alfonso Perez,5/17/1998,14400,Getafe CF
19,Estadio de la Ceramica,7/12/1923,23000,Villarreal CF
20,Estadio El Sadar,12/25/1967,19800,Osasuna
