TEAM_ID,TEAM_RATE,TEAM_NAME,OPENING_YEAR,TEAM_STADIUM,POINTS
1,1,FC Barcelona,03/08/1899,Camp Nou,35
2,2,Real Madrid CF,8/12/1902,El Estadio Santiago Bernabeu,35
3,3,Sevilla FC,6/8/1905,Estadio Ramon Sanchez Pizjuan,31
4,4,Getafe CF,11/12/1983,Coliseum Alfonso Perez,30
5,5,Atletico de Madrid,12/12/1903,Stadium Metropolitano de Madrid,29
6,6,Real Sociedad,1/1/1909,Estadio Anoeta,28
7,7,Athletic de Bilbao,02/02/1898,Estadio San Mames,27
8,8,Valencia C.F,3/3/1919,Estadio Mestalla,27
9,9,Granada CF,1/3/1931,Estadio Nuevo Los Carmenes,24
10,10,Osasuna,12/7/1920,Estadio El Sadar,23
11,11,Levante,2/5/1909,Estadi Ciutat de Valencia,23
12,12,Real Betis,6/22/1907,Estadio Benito Villamarín,23
13,13,Villarreal CF,3/2/1923,Estadio de la Ceramica,22
14,14,Deportivo Alaves,1/14/1921,Estadio Mendizorroza,19
15,15,Real Valladolid,8/15/1928,Estadio Nuevo Jose Zorilla,19
16,16,SD Eibar,6/19/1940,Ipurua Municipal Stadium,16
17,17,Real Mallorca,12/12/1916,Iberostar Estadi,15
18,18,Celta de Vigo,2/27/1923,Estadio Municipal de Balaidos,14
19,19,CD Leganes,3/15/1928,Estadio Municipal de Butarque,10
20,20,RCD Espanyol,7/27/1900,Estadi POWER 8,10
